ph,ec,oc,n,p,k,s,z,b,fe,mn,cu,name
6.21,0.88,5.71,108,62,66,31.08,1.25,0.92,6.73,3.29,0.37,Cotton
6.12,0.77,5.14,100,58,68,31.13,1.15,0.86,5.49,2.42,0.25,Cotton
6.72,0.84,4.27,120,54,70,33.91,1.25,0.88,5.82,2.7,0.34,Cotton
6.62,0.91,4.14,105,62,71,33.53,1.29,0.87,5.93,3.38,0.33,Cotton
6.38,0.76,5.32,106,64,78,32.32,1.25,0.83,6.47,3.23,0.37,Cotton
6.58,0.79,5.76,113,48,67,30.14,1.29,0.94,5.19,3.02,0.28,Cotton
6.72,0.8,5.79,100,48,65,29.68,1.11,0.85,5.4,3.02,0.26,Cotton
6.78,0.93,4.84,110,45,64,27.39,1.3,0.91,6.75,3.44,0.31,Cotton
6.92,0.88,5.54,122,50,77,30.25,1.26,0.84,5.21,3.08,0.26,Cotton
6.44,0.88,5.12,115,64,68,26.39,1.17,0.93,5.13,3.79,0.31,Cotton
6.45,0.91,5.85,100,46,77,31.51,1.25,0.99,6.02,3.4,0.28,Cotton
6.2,0.84,5.29,112,48,61,30.9,1.26,0.97,5.77,3.05,0.39,Cotton
6.31,0.79,4.67,103,55,78,32.45,1.23,0.96,6.96,3.55,0.38,Cotton
6.48,0.85,4.18,112,63,70,29.39,1.12,0.83,6.72,3.61,0.38,Cotton
6.3,0.85,4.69,108,55,69,31.48,1.38,0.8,5.31,3.41,0.38,Cotton
7.0,0.87,4.28,112,45,60,34.47,1.26,0.94,6.08,3.6,0.28,Cotton
6.12,0.91,5.91,110,52,68,26.87,1.26,0.95,6.84,3.27,0.27,Cotton
6.99,0.92,4.37,106,63,69,31.75,1.14,0.81,5.72,2.95,0.39,Cotton
6.38,0.84,4.32,117,51,72,34.45,1.17,0.97,6.22,3.63,0.38,Cotton
6.95,0.79,4.11,124,55,69,27.67,1.22,0.89,6.17,3.19,0.39,Cotton
6.08,0.75,5.89,107,50,70,31.24,1.26,0.88,5.18,3.04,0.26,Cotton
6.49,0.8,4.38,123,52,67,27.21,1.37,0.9,5.98,2.42,0.34,Cotton
6.73,0.78,5.18,113,49,63,28.76,1.32,0.82,6.58,3.65,0.25,Cotton
6.49,0.82,5.27,115,60,71,30.52,1.06,0.9,6.72,2.65,0.3,Cotton
6.28,0.85,6.0,106,55,72,34.18,1.28,0.83,6.91,3.44,0.29,Cotton
6.5,0.81,5.0,106,64,72,32.91,1.31,0.9,6.64,3.43,0.35,Cotton
6.17,0.87,4.11,105,48,68,34.95,1.09,0.88,5.4,3.28,0.3,Cotton
6.8,0.9,4.45,103,47,75,29.29,1.08,0.85,5.28,3.49,0.35,Cotton
6.27,0.92,4.53,116,54,72,26.29,1.12,0.8,5.09,3.19,0.32,Cotton
6.1,0.84,4.77,122,57,64,30.01,1.31,0.91,5.18,3.0,0.29,Cotton
6.89,0.79,4.61,116,47,78,30.0,1.28,0.93,6.96,2.51,0.33,Cotton
6.58,0.91,5.21,106,59,66,34.34,1.12,0.85,6.68,3.58,0.36,Cotton
6.74,0.86,4.5,106,64,73,33.8,1.34,0.88,6.25,3.36,0.35,Cotton
6.86,0.82,4.04,115,49,78,34.65,1.19,0.96,5.37,2.88,0.33,Cotton
6.41,0.93,4.63,124,45,62,26.72,1.12,0.97,6.03,2.43,0.3,Cotton
6.4,0.85,5.08,121,61,61,31.43,1.2,0.84,5.48,3.45,0.3,Cotton
6.38,0.84,4.43,111,46,77,30.74,1.26,0.99,6.62,3.52,0.27,Cotton
6.25,0.94,4.14,109,57,65,29.4,1.09,0.94,5.45,3.75,0.34,Cotton
6.01,0.78,4.28,103,61,65,27.41,1.15,0.93,5.21,3.02,0.32,Cotton
6.29,0.78,4.67,109,50,72,28.49,1.38,0.84,6.79,3.49,0.26,Cotton
6.62,0.88,5.09,120,48,72,31.52,1.21,0.96,6.47,2.47,0.33,Cotton
6.66,0.93,4.11,122,52,62,29.82,1.06,0.85,5.38,2.6,0.32,Cotton
6.18,0.86,5.25,123,62,73,34.24,1.09,0.85,5.47,2.86,0.36,Cotton
6.42,0.85,4.06,124,63,60,29.12,1.12,0.8,5.85,3.16,0.4,Cotton
6.99,0.92,4.22,101,64,72,25.6,1.14,0.83,6.54,3.31,0.35,Cotton
6.62,0.76,5.45,113,49,65,32.69,1.23,0.81,6.23,2.8,0.29,Cotton
6.86,0.92,4.34,124,53,65,25.03,1.03,0.9,5.37,3.49,0.25,Cotton
6.12,0.78,4.9,121,51,67,33.43,1.02,0.89,5.25,3.04,0.32,Cotton
6.57,0.82,5.99,102,57,72,34.01,1.25,0.82,5.89,3.61,0.37,Cotton
6.92,0.8,6.0,105,64,79,34.82,1.1,0.96,6.24,3.6,0.27,Cotton
6.62,0.93,4.96,110,46,73,26.94,1.16,0.95,6.1,3.52,0.38,Cotton
6.33,0.87,5.45,105,57,61,25.9,1.21,0.98,5.71,2.43,0.27,Cotton
6.33,0.85,5.85,103,60,79,25.88,1.31,1.0,5.63,2.87,0.35,Cotton
6.08,0.76,5.75,124,49,66,28.36,1.1,0.94,5.96,3.24,0.35,Cotton
6.01,0.89,5.86,108,48,70,33.85,1.27,0.81,6.8,3.06,0.25,Cotton
6.39,0.79,4.6,112,61,64,26.11,1.3,0.81,5.33,3.77,0.33,Cotton
6.52,0.9,5.95,110,48,62,29.71,1.33,0.91,5.51,3.33,0.39,Cotton
6.38,0.88,5.97,109,64,62,31.54,1.27,0.94,5.77,2.6,0.31,Cotton
6.69,0.84,5.27,108,51,64,31.87,1.21,0.86,6.36,3.12,0.35,Cotton
6.43,0.85,4.22,121,51,72,25.89,1.05,0.85,5.83,3.52,0.3,Cotton
6.83,0.77,5.83,115,46,68,25.7,1.21,0.93,6.44,3.74,0.28,Cotton
6.25,0.87,4.05,115,52,65,34.61,1.19,0.84,6.85,3.67,0.33,Cotton
6.06,0.83,5.7,123,64,62,26.65,1.33,0.83,6.97,2.46,0.27,Cotton
6.86,0.79,5.46,122,58,67,33.8,1.32,0.86,5.56,3.09,0.33,Cotton
6.84,0.84,5.79,109,45,60,34.03,1.14,0.97,6.57,3.09,0.36,Cotton
6.21,0.88,5.81,122,49,78,25.8,1.4,0.9,6.23,3.6,0.28,Cotton
6.21,0.95,5.97,119,57,68,30.14,1.03,0.88,5.46,2.76,0.34,Cotton
6.46,0.82,5.11,107,51,63,31.63,1.04,0.83,5.92,2.95,0.28,Cotton
6.32,0.92,5.05,119,59,61,33.39,1.13,0.98,5.6,2.93,0.37,Cotton
6.35,0.77,4.04,101,50,78,29.07,1.12,0.83,6.77,3.46,0.4,Cotton
6.55,0.83,5.12,100,54,64,30.08,1.26,0.85,5.52,3.02,0.33,Cotton
6.72,0.92,5.24,119,49,78,27.64,1.39,0.82,6.95,3.29,0.4,Cotton
6.27,0.77,4.75,114,56,66,26.4,1.25,0.88,5.53,3.31,0.35,Cotton
6.32,0.77,5.23,124,50,73,31.36,1.16,0.96,6.96,3.48,0.36,Cotton
6.46,0.84,4.27,116,53,60,29.37,1.16,0.92,6.2,3.65,0.35,Cotton
6.18,0.85,4.42,116,55,66,32.11,1.04,0.9,5.74,3.43,0.26,Cotton
6.24,0.92,5.07,112,52,75,32.6,1.06,0.94,6.19,3.04,0.25,Cotton
6.49,0.93,4.5,108,56,67,33.79,1.28,0.88,5.36,2.51,0.34,Cotton
6.67,0.85,4.79,123,54,67,34.86,1.26,0.98,5.94,2.58,0.29,Cotton
6.06,0.93,5.33,108,48,79,31.51,1.11,0.87,6.87,2.89,0.27,Cotton
6.19,0.95,5.67,118,55,61,27.87,1.08,0.87,6.97,3.3,0.32,Cotton
6.78,0.88,4.05,123,53,62,31.75,1.1,0.99,6.31,2.43,0.34,Cotton
6.04,0.92,4.33,115,52,74,33.44,1.23,0.83,5.96,3.69,0.36,Cotton
6.52,0.76,4.59,124,56,75,31.79,1.24,0.93,6.9,2.75,0.27,Cotton
6.07,0.89,4.18,113,59,65,34.48,1.29,0.81,5.95,3.04,0.32,Cotton
6.67,0.81,5.98,119,47,77,34.54,1.13,0.93,5.67,3.71,0.3,Cotton
6.79,0.9,4.16,108,57,60,25.41,1.22,0.96,6.86,3.15,0.36,Cotton
6.92,0.88,4.64,100,64,79,31.02,1.38,0.89,5.59,3.64,0.29,Cotton
6.21,0.83,5.75,121,58,63,32.65,1.26,0.95,5.76,2.62,0.38,Cotton
6.29,0.9,4.16,102,55,78,25.8,1.38,1.0,6.1,3.22,0.33,Cotton
6.61,0.91,4.21,110,64,62,31.06,1.11,0.89,6.52,3.57,0.31,Cotton
6.02,0.89,5.01,119,50,69,32.06,1.08,0.96,6.12,2.72,0.38,Cotton
6.01,0.89,5.79,114,51,78,31.2,1.29,0.85,6.02,2.77,0.34,Cotton
6.23,0.84,4.89,112,50,73,28.62,1.12,0.96,5.46,3.51,0.37,Cotton
6.87,0.89,5.38,121,62,60,33.79,1.05,0.84,5.16,3.32,0.39,Cotton
6.82,0.94,4.45,106,51,76,31.83,1.23,1.0,6.8,3.08,0.39,Cotton
6.31,0.79,5.07,118,46,70,26.02,1.12,0.94,6.08,2.58,0.38,Cotton
6.44,0.79,4.53,110,49,79,33.35,1.08,0.91,5.87,3.68,0.26,Cotton
6.8,0.86,5.98,118,59,64,26.12,1.25,0.93,5.18,2.91,0.27,Cotton
6.82,0.87,5.5,108,58,63,31.92,1.33,0.81,6.35,2.99,0.26,Cotton
6.38,0.86,5.33,124,55,73,30.89,1.34,0.92,5.14,3.05,0.32,Cotton
6.06,0.83,5.87,116,63,69,26.98,1.06,0.93,6.27,2.97,0.37,Cotton
6.85,0.92,4.63,112,46,64,30.79,1.06,0.99,5.24,2.67,0.28,Cotton
6.18,0.81,4.09,102,60,64,26.41,1.03,0.98,6.56,3.6,0.4,Cotton
6.76,0.8,5.73,123,48,78,26.13,1.39,0.99,6.87,2.58,0.35,Cotton
6.28,0.76,5.79,109,51,63,30.18,1.08,0.97,6.38,2.82,0.28,Cotton
6.98,0.88,5.65,115,48,74,34.66,1.12,0.87,5.98,3.74,0.35,Cotton
6.25,0.83,5.91,103,52,78,27.5,1.21,0.85,6.9,3.42,0.39,Cotton
6.07,0.89,5.86,107,59,62,25.68,1.3,0.81,5.46,2.81,0.33,Cotton
6.21,0.79,5.53,113,62,66,31.57,1.29,0.96,5.29,3.3,0.28,Cotton
6.1,0.8,4.08,114,62,71,31.51,1.21,0.98,6.4,2.88,0.25,Cotton
6.53,0.76,5.64,111,64,69,27.72,1.39,0.91,5.01,2.88,0.32,Cotton
6.46,0.88,5.11,112,55,72,31.12,1.14,0.94,5.51,2.86,0.31,Cotton
6.15,0.89,4.85,106,50,78,26.37,1.07,0.99,6.85,3.08,0.27,Cotton
6.86,0.9,4.45,120,52,74,31.61,1.16,0.93,5.83,3.54,0.39,Cotton
6.98,0.8,4.79,111,57,61,34.94,1.07,0.99,6.29,2.61,0.28,Cotton
6.71,0.87,5.01,116,45,65,26.99,1.36,0.85,5.39,2.74,0.26,Cotton
6.52,0.89,4.98,115,52,62,28.48,1.28,0.98,5.47,3.32,0.39,Cotton
6.19,0.79,5.91,111,59,65,30.03,1.35,0.9,6.46,2.41,0.29,Cotton
6.85,0.81,5.94,101,60,63,31.78,1.02,0.82,6.11,3.36,0.29,Cotton
6.8,0.83,4.94,115,60,62,25.13,1.1,0.93,5.73,3.36,0.38,Cotton
6.6,0.77,4.19,111,64,67,34.64,1.14,0.88,6.55,2.96,0.38,Cotton
6.96,0.83,5.96,108,53,79,32.96,1.37,0.84,6.04,3.07,0.29,Cotton
6.65,0.88,5.63,122,48,62,27.45,1.16,0.88,6.81,2.71,0.39,Cotton
6.13,0.82,4.01,124,60,71,29.93,1.36,0.9,5.13,2.86,0.29,Cotton
6.73,0.91,4.93,123,54,73,25.68,1.35,0.84,6.31,2.97,0.39,Cotton
6.21,0.83,5.29,118,62,74,25.9,1.02,0.94,6.13,2.9,0.36,Cotton
6.13,0.93,5.46,104,47,74,32.37,1.16,0.91,5.87,3.45,0.38,Cotton
6.35,0.9,4.43,122,47,71,33.21,1.07,0.8,6.69,3.44,0.29,Cotton
6.48,0.86,4.44,121,57,66,33.21,1.1,0.98,5.61,3.11,0.25,Cotton
6.68,0.79,5.38,106,58,79,34.86,1.09,0.88,5.48,3.48,0.36,Cotton
6.24,0.8,5.25,113,60,77,30.39,1.13,0.88,5.67,2.5,0.38,Cotton
6.76,0.76,5.1,110,49,66,29.15,1.36,0.82,5.3,3.78,0.35,Cotton
6.75,0.78,5.42,112,55,64,31.12,1.37,0.86,5.76,2.77,0.33,Cotton
6.09,0.83,4.46,111,45,67,33.48,1.24,0.92,5.83,3.17,0.31,Cotton
6.53,0.76,5.88,109,46,74,33.21,1.3,0.92,6.52,3.34,0.26,Cotton
6.33,0.79,5.21,105,60,61,33.5,1.4,0.91,6.03,3.33,0.36,Cotton
6.48,0.88,5.0,105,59,71,27.78,1.15,0.88,6.48,3.48,0.29,Cotton
6.75,0.78,4.22,101,46,61,34.84,1.22,0.84,6.44,3.67,0.31,Cotton
6.57,0.9,5.18,121,57,69,32.87,1.15,0.81,5.02,3.52,0.35,Cotton
6.58,0.92,5.77,120,52,61,27.8,1.09,0.82,5.69,3.48,0.3,Cotton
6.57,0.8,5.99,114,50,79,31.55,1.35,0.85,6.16,3.17,0.34,Cotton
6.47,0.77,4.59,103,45,69,28.98,1.28,0.8,6.1,2.44,0.39,Cotton
6.24,0.84,5.45,110,58,74,30.99,1.05,0.95,5.49,2.93,0.29,Cotton
6.74,0.89,4.19,104,45,73,33.75,1.08,0.94,6.82,3.79,0.35,Cotton
6.68,0.93,5.08,100,54,76,26.67,1.08,0.89,6.82,3.49,0.32,Cotton
6.41,0.8,5.92,111,53,70,26.94,1.33,0.87,6.3,2.89,0.29,Cotton
6.6,0.8,4.74,123,54,71,32.47,1.02,0.84,6.32,3.37,0.36,Cotton
6.44,0.82,5.27,116,62,61,33.66,1.39,0.94,5.03,3.59,0.36,Cotton
6.25,0.95,5.1,109,52,61,25.24,1.38,0.84,5.73,3.25,0.32,Cotton
6.37,0.77,5.15,122,52,68,27.84,1.39,0.95,5.75,2.96,0.38,Cotton
6.22,0.8,5.32,104,64,75,25.5,1.21,0.87,6.84,2.64,0.38,Cotton
6.3,0.88,4.36,116,45,66,29.33,1.27,0.9,5.21,2.74,0.29,Cotton
6.55,0.93,5.99,101,63,71,29.58,1.05,0.8,5.87,2.46,0.36,Cotton
6.28,0.84,4.92,119,46,67,31.74,1.34,0.91,6.85,2.9,0.38,Cotton
6.71,0.89,5.89,102,49,64,34.46,1.13,0.95,6.75,2.46,0.31,Cotton
6.44,0.86,5.84,120,48,61,28.5,1.11,0.94,5.95,3.5,0.27,Cotton
6.72,0.92,4.84,106,56,73,28.35,1.07,0.94,6.43,3.21,0.37,Cotton
6.5,0.84,4.15,119,55,69,27.5,1.11,0.96,5.77,3.24,0.32,Cotton
6.67,0.82,4.12,121,50,74,32.33,1.16,0.91,6.83,3.27,0.3,Cotton
6.25,0.82,5.75,106,50,65,32.71,1.03,0.82,6.61,3.61,0.26,Cotton
6.1,0.85,5.11,115,46,79,26.33,1.33,0.93,5.79,3.79,0.35,Cotton
6.22,0.81,5.85,119,56,63,27.1,1.05,0.95,6.47,3.42,0.25,Cotton
6.51,0.81,4.61,120,60,75,26.38,1.04,0.92,6.05,2.51,0.33,Cotton
6.95,0.93,5.77,102,48,63,26.47,1.36,0.91,6.48,3.73,0.36,Cotton
6.49,0.82,4.06,103,52,61,31.46,1.08,0.95,5.76,2.41,0.37,Cotton
6.15,0.8,4.16,122,48,72,26.75,1.29,0.83,6.01,3.16,0.27,Cotton
6.35,0.89,5.47,113,58,73,33.24,1.03,0.93,5.75,2.95,0.28,Cotton
6.34,0.91,4.32,109,62,75,27.82,1.26,0.93,6.55,2.89,0.32,Cotton
6.09,0.92,5.42,120,63,72,31.38,1.37,0.92,5.74,3.4,0.26,Cotton
6.11,0.85,4.12,103,45,65,29.25,1.01,0.81,6.86,3.33,0.38,Cotton
6.91,0.83,4.12,115,45,77,25.19,1.26,0.8,5.66,2.65,0.36,Cotton
6.7,0.93,4.54,108,57,75,34.92,1.35,0.89,6.05,3.18,0.35,Cotton
6.57,0.87,4.36,122,59,66,31.5,1.14,0.93,5.56,2.96,0.29,Cotton
6.33,0.93,5.96,119,59,62,31.78,1.24,0.93,5.52,3.78,0.27,Cotton
6.29,0.86,4.66,112,47,61,33.94,1.31,0.94,6.68,3.5,0.32,Cotton
6.92,0.85,5.33,105,52,78,32.34,1.07,0.97,6.92,2.8,0.25,Cotton
6.57,0.88,5.03,120,59,73,30.33,1.01,0.97,6.75,2.99,0.34,Cotton
6.43,0.91,5.25,110,53,66,28.4,1.08,0.88,6.88,3.67,0.4,Cotton
6.83,0.78,5.05,102,50,70,33.48,1.04,0.98,5.75,2.68,0.32,Cotton
6.28,0.88,4.84,101,45,71,27.65,1.14,0.9,5.21,3.16,0.27,Cotton
6.33,0.89,5.42,105,51,79,25.34,1.26,0.81,6.72,2.8,0.35,Cotton
6.58,0.91,5.53,121,60,61,26.88,1.01,0.88,5.64,2.71,0.38,Cotton
6.42,0.94,4.54,106,60,79,33.15,1.26,0.91,5.45,2.51,0.31,Cotton
6.88,0.76,4.06,100,45,61,25.43,1.04,0.84,5.95,2.99,0.39,Cotton
6.14,0.92,5.14,106,46,67,30.64,1.34,0.91,5.52,2.92,0.3,Cotton
6.19,0.87,4.51,103,53,77,31.82,1.24,0.88,5.05,3.03,0.34,Cotton
6.18,0.91,5.1,117,58,67,31.92,1.4,0.81,6.33,2.44,0.39,Cotton
7.0,0.82,4.36,116,58,68,28.39,1.14,0.85,5.08,2.8,0.32,Cotton
6.38,0.76,5.9,110,56,65,29.33,1.09,0.99,5.14,2.61,0.32,Cotton
6.64,0.93,5.4,100,55,78,33.73,1.26,1.0,6.05,2.88,0.32,Cotton
6.85,0.84,4.38,106,60,68,33.32,1.07,0.89,5.02,3.11,0.29,Cotton
6.39,0.85,4.8,116,54,73,32.11,1.12,0.86,5.83,2.68,0.33,Cotton
6.12,0.81,4.41,109,60,60,26.92,1.09,0.95,5.89,2.59,0.35,Cotton
6.42,0.83,4.1,103,53,71,29.55,1.33,0.91,5.24,3.07,0.27,Cotton
6.29,0.91,5.64,115,45,67,31.28,1.38,0.95,6.82,2.87,0.27,Cotton
6.23,0.79,5.47,116,59,78,31.14,1.02,0.91,5.01,3.21,0.38,Cotton
6.88,0.88,4.14,111,60,62,29.96,1.38,0.91,6.3,3.67,0.31,Cotton
6.53,0.94,4.3,108,64,63,26.49,1.23,0.97,6.89,2.88,0.3,Cotton
6.6,0.81,5.96,105,57,70,30.06,1.1,0.81,5.23,3.03,0.34,Cotton
6.31,0.85,5.7,123,58,62,26.29,1.31,0.85,5.5,2.64,0.4,Cotton
6.59,0.9,5.93,122,56,70,30.64,1.37,0.8,6.78,3.26,0.34,Cotton
6.89,0.83,4.77,110,57,76,31.3,1.36,1.0,6.62,3.71,0.26,Cotton
6.9,0.85,5.11,101,58,74,28.62,1.25,0.99,5.95,3.73,0.34,Cotton
6.32,0.79,4.13,112,46,68,25.33,1.36,0.89,5.33,2.55,0.36,Cotton
6.46,0.81,5.44,102,46,73,32.18,1.04,0.88,6.45,3.09,0.39,Cotton
6.4,0.75,5.03,105,46,66,26.93,1.4,0.91,6.7,3.09,0.37,Cotton
6.79,0.9,5.18,121,64,62,26.43,1.31,0.95,5.82,2.98,0.39,Cotton
6.18,0.85,4.6,109,62,68,30.23,1.34,0.87,6.02,3.77,0.3,Cotton
6.1,0.92,4.11,118,46,79,26.48,1.27,0.88,6.02,2.83,0.35,Cotton
6.99,0.93,5.91,114,63,66,27.11,1.19,0.86,5.71,2.85,0.38,Cotton
6.74,0.91,5.29,121,64,72,28.05,1.33,1.0,6.18,3.75,0.37,Cotton
6.63,0.8,4.47,109,61,71,34.17,1.25,0.99,5.58,3.17,0.28,Cotton
6.73,0.92,4.08,116,46,64,29.64,1.01,1.0,5.6,2.57,0.25,Cotton
6.37,0.84,5.29,110,58,70,33.18,1.09,0.8,5.53,2.91,0.27,Cotton
6.39,0.77,5.23,113,54,62,31.86,1.12,0.88,5.57,2.9,0.26,Cotton
6.89,0.93,4.4,101,60,60,26.93,1.12,0.91,5.16,3.08,0.32,Cotton
6.64,0.77,5.22,120,61,70,33.93,1.21,0.99,5.33,2.82,0.35,Cotton
6.19,0.83,4.3,123,54,67,31.21,1.29,0.99,5.09,2.73,0.28,Cotton
6.73,0.91,5.62,110,53,74,32.41,1.2,0.92,6.35,3.45,0.26,Cotton
6.53,0.81,5.75,114,59,72,31.54,1.26,0.92,5.24,3.61,0.39,Cotton
6.76,0.87,4.63,112,55,71,28.71,1.4,0.99,5.55,3.39,0.26,Cotton
6.5,0.76,4.49,122,50,64,29.64,1.4,0.96,5.44,3.47,0.33,Cotton
6.58,0.83,5.97,120,55,75,33.86,1.15,0.82,5.95,3.0,0.27,Cotton
6.94,0.94,5.32,115,55,68,25.76,1.25,0.8,5.41,2.95,0.31,Cotton
6.75,0.76,4.12,104,62,66,30.45,1.06,0.96,6.72,3.07,0.34,Cotton
6.28,0.77,4.14,104,47,70,30.94,1.29,0.84,6.75,3.62,0.31,Cotton
6.11,0.84,4.47,124,50,79,34.73,1.39,0.97,6.97,2.99,0.37,Cotton
6.68,0.91,5.76,112,53,67,31.21,1.36,0.83,6.43,3.29,0.38,Cotton
6.5,0.84,4.19,112,57,77,27.32,1.11,0.83,5.91,3.76,0.4,Cotton
6.76,0.82,4.15,108,61,78,31.23,1.23,0.91,6.75,2.49,0.26,Cotton
6.31,0.85,6.0,120,48,78,30.04,1.33,0.92,5.16,3.51,0.33,Cotton
6.16,0.88,4.39,106,47,69,28.59,1.37,0.84,5.24,2.56,0.25,Cotton
6.57,0.81,4.34,117,54,71,32.49,1.21,0.83,6.02,3.32,0.38,Cotton
6.59,0.77,4.93,103,46,62,31.51,1.3,0.87,6.74,2.73,0.29,Cotton
6.87,0.83,4.75,111,49,77,25.04,1.33,0.81,6.61,3.03,0.35,Cotton
6.34,0.93,5.71,103,63,78,34.62,1.37,0.92,6.35,2.73,0.39,Cotton
6.52,0.82,5.03,109,64,72,34.54,1.16,0.99,5.11,3.66,0.28,Cotton
6.5,0.91,4.1,100,58,72,27.6,1.05,0.95,5.41,3.46,0.37,Cotton
6.86,0.93,5.2,104,64,61,33.39,1.1,0.99,5.01,3.65,0.37,Cotton
6.82,0.78,4.97,110,46,75,25.13,1.33,0.99,5.4,3.2,0.31,Cotton
6.98,0.82,5.3,118,53,76,32.24,1.01,0.9,6.79,2.83,0.28,Cotton
6.4,0.87,4.99,107,46,78,33.39,1.33,0.82,6.05,2.71,0.27,Cotton
6.32,0.83,4.25,118,48,67,28.05,1.25,0.99,6.42,2.64,0.32,Cotton
6.51,0.83,5.49,124,55,62,29.66,1.01,0.85,6.44,2.69,0.38,Cotton
6.27,0.87,4.33,108,55,68,28.23,1.4,0.9,5.97,2.41,0.38,Cotton
6.98,0.76,5.52,116,52,74,29.82,1.23,0.89,5.95,3.7,0.39,Cotton
6.48,0.76,4.72,124,46,67,28.65,1.25,0.91,6.91,2.79,0.39,Cotton
6.47,0.82,4.83,112,62,73,34.67,1.02,0.84,5.39,2.55,0.29,Cotton
6.8,0.78,5.24,109,56,66,34.16,1.37,0.86,5.62,2.67,0.29,Cotton
6.69,0.86,5.86,114,52,74,25.4,1.12,0.93,5.97,2.51,0.28,Cotton
6.91,0.85,4.83,116,49,68,25.28,1.0,0.82,5.16,3.09,0.28,Cotton
6.39,0.93,5.27,116,62,62,25.66,1.32,0.84,5.2,3.41,0.39,Cotton
7.0,0.83,4.06,101,46,63,25.58,1.2,0.93,5.89,2.48,0.38,Cotton
6.42,0.91,4.4,103,58,62,31.08,1.26,0.92,5.86,2.94,0.26,Cotton
6.52,0.85,5.74,121,63,66,25.66,1.17,0.87,5.32,2.42,0.35,Cotton
6.7,0.87,4.98,123,52,71,29.26,1.22,0.98,5.05,3.61,0.27,Cotton
6.4,0.91,5.23,102,54,68,31.2,1.15,0.96,6.25,3.07,0.31,Cotton
6.62,0.79,4.13,120,60,61,33.02,1.33,0.92,6.48,3.23,0.28,Cotton
6.3,0.82,5.53,107,56,77,31.33,1.1,0.84,5.74,2.65,0.36,Cotton
6.53,0.82,5.38,111,54,71,29.08,1.34,0.95,5.94,3.29,0.3,Cotton
6.62,0.78,5.57,112,52,68,28.06,1.14,0.98,5.02,3.25,0.27,Cotton
6.32,0.93,5.83,102,50,68,25.74,1.12,0.93,5.21,2.79,0.31,Cotton
6.32,0.9,4.51,123,57,73,27.77,1.12,0.84,5.24,3.57,0.39,Cotton
6.18,0.9,5.24,122,47,61,26.68,1.3,0.92,6.28,2.69,0.26,Cotton
6.93,0.88,5.55,122,51,77,28.93,1.14,0.85,5.94,3.18,0.32,Cotton
6.74,0.79,5.45,106,45,72,25.35,1.17,0.92,6.16,3.01,0.38,Cotton
6.92,0.75,5.45,116,57,62,25.28,1.27,0.88,6.4,2.41,0.37,Cotton
6.66,0.94,5.39,124,56,66,29.99,1.31,0.99,6.41,3.06,0.26,Cotton
6.46,0.78,5.02,115,49,62,26.91,1.26,0.83,6.84,3.69,0.27,Cotton
6.49,0.79,4.46,114,55,68,28.4,1.14,0.95,6.72,3.77,0.38,Cotton
6.79,0.88,5.35,108,49,73,28.49,1.37,0.96,5.99,3.42,0.38,Cotton
6.3,0.85,5.99,113,47,64,31.76,1.15,0.83,5.15,2.9,0.38,Cotton
6.17,0.92,5.3,113,63,67,29.48,1.38,0.84,5.86,2.46,0.31,Cotton
6.76,0.78,5.07,111,60,72,27.11,1.2,0.88,5.7,3.25,0.36,Cotton
6.39,0.81,5.44,113,54,61,25.91,1.15,0.94,6.61,3.16,0.26,Cotton
6.59,0.79,5.12,111,50,78,32.27,1.1,0.85,6.25,2.65,0.4,Cotton
6.21,0.9,4.39,104,49,66,27.55,1.23,0.95,6.49,3.57,0.32,Cotton
6.29,0.79,4.28,105,49,60,26.63,1.19,0.97,5.44,2.64,0.35,Cotton
6.94,0.89,4.91,100,49,68,28.84,1.13,0.91,6.4,3.58,0.29,Cotton
6.56,0.92,5.43,111,45,61,28.94,1.25,0.84,6.27,2.9,0.3,Cotton
6.69,0.83,4.38,120,61,68,27.9,1.32,0.82,5.57,2.42,0.25,Cotton
6.49,0.83,5.76,101,55,65,27.06,1.18,0.95,5.9,3.65,0.36,Cotton
6.14,0.83,5.17,117,48,69,30.01,1.01,0.9,6.94,3.15,0.26,Cotton
6.8,0.77,5.87,111,51,63,26.46,1.37,0.97,6.53,3.55,0.28,Cotton
6.24,0.86,4.09,123,52,65,32.01,1.29,0.87,5.24,3.78,0.29,Cotton
6.65,0.94,4.07,103,55,62,30.84,1.04,0.87,6.38,3.36,0.26,Cotton
6.64,0.93,4.32,117,60,63,29.06,1.28,0.88,6.68,3.36,0.29,Cotton
6.54,0.94,5.14,115,59,65,34.39,1.15,0.98,6.94,3.22,0.33,Cotton
6.01,0.87,4.24,113,64,78,28.64,1.28,0.96,5.67,3.5,0.31,Cotton
6.98,0.92,5.69,102,47,66,31.78,1.29,0.96,6.29,3.76,0.38,Cotton
6.05,0.94,5.76,122,62,73,29.1,1.29,0.83,6.38,2.76,0.37,Cotton
6.34,0.77,4.55,109,57,67,31.79,1.02,0.95,5.68,2.96,0.31,Cotton
6.27,0.93,5.28,104,63,76,29.94,1.16,0.88,6.34,3.7,0.36,Cotton
6.06,0.86,5.64,117,47,76,29.31,1.3,0.82,6.05,3.08,0.29,Cotton
6.87,0.77,5.86,106,53,61,33.26,1.36,0.91,6.83,3.79,0.34,Cotton
6.81,0.82,5.61,119,52,68,33.24,1.22,0.86,6.49,3.31,0.35,Cotton
